"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R82,R81,R67,R78,R55,R66,R56,R59,R60,R76,R61,R58,R77,R57";"Nice_0402R";14;"1k";;;
2;"D9,D8,D6,D5,D7,D3,D4";"LED_0805_2012Metric";7;"APT2012SYCK";;;
3;"C97,C96,C95,C92,C8,C6,C7";"Nice_0603C";7;"2.2u";;;
4;"R68,R79";"Nice_0402R";2;"15k";;;
5;"R19,R5,R34,R32,R35,R8,R36,R4,R6,R7,R20,R54,R33,R31,R3,R17,R18,R30,R9";"Nice_0402R";19;"10k";;;
6;"TP54,TP56,TP53,TP59,TP55,TP22,TP75,TP47,TP36,TP49,TP70,TP69,TP41,TP74,TP35,TP23,TP12,TP20,TP24,TP66,TP31,TP40,TP32,TP48,TP76,TP39,TP17,TP43,TP65,TP16,TP34,TP64,TP63,TP71,TP25,TP61,TP58,TP51,TP15,TP73,TP52,TP33,TP10,TP68,TP42,TP14,TP28,TP29,TP77,TP38,TP26,TP45,TP44,TP11,TP72,TP13,TP46,TP62,TP30,TP21,TP57,TP37,TP67,TP19,TP60,TP27,TP50,TP18";"TP_0.6mm";68;"TestPoint";;;
7;"C50,C91,C25,C51,C3,C49,C57,C77,C78,C33,C2,C55,C54,C60,C5,C4,C13,C53,C58,C59,C52,C1,C38,C56,C40,C9,C89,C34,C15,C88,C27,C21,C63,C26";"Nice_0402C";34;"100n";;;
8;"R44,R29,R15,R27,R45,R43,R14,R28,R16";"Nice_0402R";9;"820R";;;
9;"J12,J5";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";2;"Screw_Terminal_01x02";;;
10;"C72,C31,C20,C74,C85,C19,C18,C84,C66,C80,C70,C75,C65,C71,C82,C76,C67,C81,C44,C73,C45,C64,C32";"C_1206_3216Metric";23;"10u";;;
11;"R2";"Nice_0402R";1;"100k";;;
12;"SW3,SW2,SW1";"SW_PUSH_1P1T_6x3.5mm_H5.0_APEM_MJTP1250";3;"SW_Push";;;
13;"R71,R47,R46,R73,R63,R72,R49";"Nice_0402R";7;"0R";;;
14;"U2,U4,U7";"TSSOP-14_4.4x5mm_P0.65mm";3;"LM324";;;
15;"J11,J9";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04";;;
16;"R69,R75,R62,R74,R70";"Nice_0402R";5;"100R";;;
17;"J4";"PinHeader_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
18;"R1";"R_Shunt_Ohmite_LVK12";1;"LVK12R020";;;
19;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"24LC64";;;
20;"SWD1";"PinHeader_2x05_P1.27mm_Vertical_SMD";1;"Conn_02x05_Odd_Even";;;
21;"C11,C12,C35,C23,C36,C37,C22,C10,C24";"Nice_0402C";9;"100p";;;
22;"R80";"Nice_0402DNP";1;"DNP";;;
23;"U6";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
24;"C86,C79,C90,C42,C17,C29";"Nice_0603C";6;"100n";;;
25;"J8,J7,J6";"PinSocket_1x03_P2.54mm_Vertical";3;"Conn_01x03_Pin";;;
26;"M1";"FanPinHeader_1x04_P2.54mm_Vertical";1;"Fan_Tacho_PWM";;;
27;"FB1";"L_1812_4532Metric";1;"74279223560";;;
28;"J1,J3,J2";"PinSocket_2x06_P2.54mm_Horizontal";3;"Conn_02x06_Odd_Even";;;
29;"RN1";"R_Array_Convex_4x0603";1;"EXB-38V102JV";;;
30;"RN2,RN3,RN4,RN5";"R_Array_Concave_4x0402";4;"EXB-N8N220JX";;;
31;"Q1";"SOT-23";1;"2N7002";;;
32;"L2";"L_Bourns-SRN8040_8x8.15mm";1;"22u";;;
33;"C69,C68,C83";"CP_Elec_10x10.5";3;"330uF";;;
34;"C61,C28,C16,C41";"Nice_0603C";4;"1u";;;
35;"C30";"Nice_0603C";1;"10n";;;
36;"U11";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MCP1501-25E/SN";;;
37;"U1";"LQFP-176_24x24mm_P0.5mm";1;"STM32H725IGTx";;;
38;"F1";"LIttelfuse_30R";1;"30R500U";;;
39;"R64,R48";"Nice_0402DNP";2;"TBD";;;
40;"D2";"D_SMA";1;"SS16";;;
41;"L1";"L_0805_2012Metric";1;"BLM18AG471SN1D";;;
42;"C43";"CP_Elec_8x10.5";1;"330uF";;;
43;"U14";"SOIC-8_3.9x4.9mm_P1.27mm";1;"Si4435DDY";;;
44;"U13";"TI_SO-PowerPAD-8";1;"LM22676MR-5";;;
45;"J10";"JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical";1;"Conn_01x04";;;
46;"D1";"D_SOD-323_HandSoldering";1;"BZX384-B10,115";;;
47;"Q2";"PowerPAK_SO-8_Single";1;"SIR422DP-T1-GE3";;;
48;"U5";"SOT-23";1;"AP7375-30SA-7";;;
49;"C62";"Nice_0402C";1;"1n";;;
50;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"ECS-250-18-33-JGN-TR3";;;
51;"U16,U10,U15";"VQFN40_RGF_TEX";3;"DRV8316CR";;;
52;"U12";"WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias";1;"TMP1075DSG";;;
53;"C39,C48,C87";"Nice_0603C";3;"47n";;;
54;"U17";"SOT-23";1;"ZXCT1109";;;
55;"R65,R51,R50,R52";"Nice_0402R";4;"470R";;;
56;"TP6,TP1,TP4,TP7,TP2,TP5,TP8,TP3";"TestPoint_THTPad_D1.0mm_Drill0.5mm";8;"TestPoint";;;
57;"C46,C47";"Nice_0402C";2;"18p";;;
